Vernier Format 2
lab8.txt 4/13/2021 16:22:34
Run 1
Volume	pH	Calculated Column	
V	p	C	
mL			

0.00	3.04	0.62808	
1.00	3.79	0.47504	
2.00	4.12	0.30964	
3.0	4.33	0.20726	
4.00	4.48	0.1535	
5.00	4.63	0.12364	
6.00	4.72	0.10295	
7.00	4.82	0.097652	
8.00	4.92	0.092905	
9.00	5.00	0.091649	
10.00	5.10	0.089357	
11.00	5.18	0.088667	
12.00	5.27	0.098088	
13.00	5.38	0.10512	
14.00	5.48	0.11822	
15.00	5.62	0.13514	
16.00	5.74	0.16512	
17.00	5.91	0.24418	
18.00	6.15	0.43804	
19.00	6.63	0.97322	
19.50	7.37	2.8645	
19.59	8.45	14.986	
19.65	11.03	20.063	
19.70	11.39	10.28	
19.75	11.61	5.0942	
19.80	11.76	2.7259	
19.85	11.86	1.9028	
19.90	11.93	1.5217	
19.95	12.01	1.3237	
20.00	12.07	1.0044	
20.10	12.17	0.75937	
20.25	12.29	0.50413	
20.70	12.49	0.35342	
21.00	12.59	0.2178	
22.00	12.77	0.15187	
23.00	12.89	0.11303	
24.00	12.99	0.091045	
25.00	13.06	0.07799	
			
Vernier Format 2
lab8.txt 4/13/2021 16:22:34
Run 2
Volume	pH	Calculated Column	
V	p	C	
mL			

0.00	4.32	0.11597	
1.00	4.44	0.11118	
2.00	4.55	0.10098	
3.00	4.64	0.090868	
4.00	4.73	0.086466	
5.00	4.81	0.080093	
6.00	4.88	0.078023	
7.00	4.97	0.077539	
8.00	5.04	0.076101	
9.00	5.12	0.078779	
10.00	5.20	0.080512	
11.00	5.28	0.08231	
12.00	5.36	0.087181	
13.00	5.45	0.092651	
14.00	5.54	0.10361	
15.00	5.65	0.12194	
16.00	5.78	0.14456	
17.00	5.93	0.1819	
18.00	6.14	0.23468	
18.50	6.28	0.33353	
19.00	6.49	0.48762	
19.25	6.66	0.73966	
19.50	6.86	1.1786	
19.75	7.12	2.6571	
19.85	7.70	7.1682	
19.9	8.31	17.567	
19.95	10.00	19.925	
20.00	10.72	13.338	
20.05	11.17	8.4753	
20.10	11.47	5.1453	
20.15	11.67	3.1244	
20.20	11.80	1.8062	
20.35	12.05	1.087	
20.50	12.21	0.52454	
21.00	12.43	0.31768	
22.00	12.71	0.21395	
23.00	12.86	0.14262	
24.00	12.95	0.10486	
25.00	13.03	0.086811	
Vernier Format 2
lab8.txt 4/13/2021 16:22:34
Run 3
Volume	pH	Calculated Column	
V	p	C	
mL			

0.00	3.09	-0.50589	
1.00	2.46	-0.35885	
2.00	2.28	-0.22156	
3.00	2.10	-0.15029	
4.00	2.00	-0.097611	
5.00	1.92	-0.072307	
6.00	1.86	-0.055561	
7.00	1.82	-0.047044	
8.00	1.77	-0.042913	
9.00	1.73	-0.038259	
10.00	1.70	-0.034852	
11.00	1.66	-0.034248	
Vernier Format 2
lab8.txt 4/13/2021 16:22:34
Run 4
Volume	pH	Calculated Column	
V	p	C	
mL			

0.00	4.32	-0.16413	
1.00	4.19	-0.21139	
2.00	3.93	-0.27658	
2.50	3.78	-0.39517	
3.00	3.55	-0.59621	
3.5	3.18	-0.76207	
4.00	2.68	-0.70027	
4.50	2.38	-0.43462	
5.00	2.23	-0.22392	
6.00	2.08	-0.13536	
7.00	1.98	-0.092114	
8.00	1.91	-0.067447	
9.00	1.86	-0.052953	
10.00	1.81	-0.046502	
Vernier Format 2
lab8.txt 4/13/2021 16:22:34
Run 5
Volume	pH	Calculated Column	
V	p	C	
mL			

			
