Higher Clade;Species;SP#;Body Mass (g);Femoral Pneumaticity;Humerus Length;Humerus Circumference;Femur Length;Femur Circumference;Tibia Length;Tibia Circumference
Anseriformes;Anas discors;ROM 80560;450;no;;;36,55;11;57,8;9
Anseriformes;Anser rossii;ROM 95694;1615;no;;;61,8;21,25;;
Anseriformes;Anser indicus;ROM 90956;2177;no;;;74,15;25,75;133,05;21
Anseriformes;Anser caerulescens;ROM 128667;2495;no;;;71,3;24;127,7;21
Anseriformes;Branta canadensis;ROM 115311;5630;no;;;89,15;30;163,5;26,25
Anseriformes;Cygnus buccinator;ROM 33734;9000;no;;;119,2;44,15;218,5;38
Charadriiformes;Alle alle;ROM 141173;183;no;43,6;9,7;28,75;8;49,4;6,7
Charadriiformes;Brachyramphus marmoratus;ROM 105433;242;no;49,7;11,8;24,9;7,85;46,15;6,85
Charadriiformes;Cepphus grylle;ROM 126414;489;no;;;37,2;13;59,9;11,25
Charadriiformes;Cerorhinca monocerata;ROM 138093;610;no;;;42,6;10,9;69,95;10,05
Charadriiformes;Fratercula cirrhata ?;ROM 119564;640;no;74,7;16,55;46,3;13,3;77,5;12,1
Charadriiformes;Ptychoramphus aleuticus;ROM 66187;185;no;45,55;10,2;28,7;7,65;50,1;7,25
Charadriiformes;Synthliboramphus antiquus;ROM 105633;283;no;52,2;11,9;27,1;9,05;50,65;7,55
Charadriiformes;Uria aalge;ROM 109942;1020;no;;;47,85;15;83,7;12,5
Charadriiformes;Uria lomvia;ROM 140566;1156;no;89,5;20,15;46,1;14,9;90,25;12
Charadriiformes;Burhinus vermiculatus;ROM 114557;341;no;69,5;13,75;46,1;13;94,3;12,1
Charadriiformes;Burhinus bistriatus;ROM 114099;830;no;105,65;18;64,35;17,05;148,25;16,3
Charadriiformes;Pluvialis squatarola;ROM 109350;223;no;53,9;10,7;38;9,7;74,45;8,55
Charadriiformes;Vanellus vanellus;ROM 156877;165;no;;;33,75;11,5;86,3;11
Charadriiformes;Vanellus chilensis;ROM 158377;370;no;80,5;15,95;47,4;12,35;96,7;11,7
Charadriiformes;Stiltia isabella;ROM 149448;86;no;42,35;9,05;27,45;7,8;57,5;7,65
Charadriiformes;Haematopus unicolor;ROM 116406;720;no;85,3;18;55,5;15;96,7;13
Charadriiformes;Larus minutus;ROM 124006;115;no;;;22,65;9,25;50,8;8
Charadriiformes;Larus glaucoides;ROM 138180;1100;no;;;59,5;17,9;108,2;14
Charadriiformes;Larus marinus;ROM 91533;2401;no;167;26,15;77,2;20,6;145,6;18,05
Charadriiformes;Rissa tridactyla;ROM 150452;510;no;93,25;16,6;41,3;11,05;75,95;9,3
Charadriiformes;Xema sabini;ROM 115690;156;no;72,45;12,55;30,3;7,95;62,2;7,05
Charadriiformes;Anous stolidus;ROM 118650;197;no;62,5;12;26,6;8,4;45,1;7,5
Charadriiformes;Chlidonias nigra;ROM 120140;67;no;39,25;8,4;19,95;6,05;34,65;5,65
Charadriiformes;Sterna albifrons;ROM 157619;59;no;35,55;7,75;18,6;5,7;30,85;4,05
Charadriiformes;Sterna forsteri;ROM 110825;142;no;57,1;11,1;25,75;8,05;48,45;7
Charadriiformes;Sterna caspia;ROM 158491;780;no;105,4;17,5;45,05;12,6;79,7;10,9
Charadriiformes;Himantopus mexicanus;ROM 150807;163;no;54,785;11;33,11;9,5;116,88;9
Charadriiformes;Himantopus leucocephalus;ROM 102232;225;no;59,055;12,2;35,68;10,2;121,24;9,4
Charadriiformes;Recurvirostra americana;ROM 157453;315;no;70,4;13,45;40,8;12,05;123,45;10,25
Charadriiformes;Arenaria interpres;ROM 105551;166;no;39;9,05;28,9;7,8;47,25;6,75
Charadriiformes;Aphriza virgata;ROM 109351;142;no;45,1;10,4;30,8;8,4;;
Charadriiformes;Calidris alpina;ROM 123374;72;no;;;23,15;9;;8
Charadriiformes;Calidris melanotos;ROM 123352;102;no;35,1;8,3;26,5;7,15;48,8;7,15
Charadriiformes;Calidris canutus;ROM 152718;139;no;;;31,3;9,3;;
Charadriiformes;Tryngites subruficollis;ROM 151465;117;no;34,45;7,95;26,75;6,85;50,65;6,05
Charadriiformes;Gallinago gallinago;ROM 93096;134;no;38,75;9,3;32,75;8,1;55,35;7,25
Charadriiformes;Limnodromus griseus;ROM 94318;127;no;41,35;9,2;27,6;8;55,85;7
Charadriiformes;Phalaropus fulicarius;ROM 155054;57;no;34,7;7,8;19,55;6,05;38,8;5,1
Charadriiformes;Scolopax minor;ROM 91022;240;no;;;38,15;10,15;57,1;8,95
Charadriiformes;Actitis macularia;ROM 146521;60;no;27,7;6,75;22;6,05;39,55;5,15
Charadriiformes;Catoptrophorus semipalmatus;ROM 157461;273;no;61,1;12,9;41,1;11;83,7;10,1
Charadriiformes;Heteroscelus incanus;ROM 119284;121;no;43,95;9,4;32,15;8,45;56,2;7,4
Charadriiformes;Stercorarius longicaudus;ROM 128671;301;no;85,85;15,2;33,8;9,45;64,45;8,65
Charadriiformes;Stercorarius pomarinus;ROM 97975;546;no;109,95;20;47,05;13,05;82,05;11,2
Ciconiiformes;Agamia agami;ROM 104327;620;no;101,05;19;77,25;17,55;142,3;15,8
Ciconiiformes;Ardea alba;ROM 93058;1130;no;151;26;83,1;19,95;222,55;19
Ciconiiformes;Ardea herodias;ROM 66170;2825;no;196,2;34,15;102,45;24,6;248,9;22,95
Ciconiiformes;Ardeola striata;ROM 150928;246;no;;;49,3;12,5;79,5;11,5
Ciconiiformes;Egretta ibis;ROM 93060;385;no;95,05;17,85;55,95;14,1;122,2;13,4
Ciconiiformes;Botaurus pinnatus;ROM 115850;851;no;129,3;20,3;90,55;19,1;;
Ciconiiformes;Botaurus lentiginosus;ROM 149467;1007;no;117,15;21,4;85,25;17,75;138,7;17,05
Ciconiiformes;Ixobrychus exilis;ROM 156801;87;no;;;41,1;8,5;64,9;8
Ciconiiformes;Cochlearius cochlearius;ROM 104335;600;no;98,4;20,5;68,85;17,95;119,5;15,25
Ciconiiformes;Nycticorax nycticorax;ROM 158262;873;no;113,55;20;72,85;16,7;125,55;16,45
Ciconiiformes;Tigrisoma mexicanum;ROM 104334;1220;no;124,2;24,8;89,6;20,4;161,35;18,55
Ciconiiformes;Ciconia episcopus;ROM 96598;1871;yes;167,3;35,85;77,045;31,75;218,15;23,5
Ciconiiformes;Ephippiorhynchus senegalensis;ROM 35467;4210;yes;233;48;112,615;43,6;365,5;35
