"","length","width","area"
"1",4,3,12
"2",5,4,20
"3",3,6,18
"4",2,6,12
"5",3,5,15
"6",7,4,28
"7",6,3,18
"8",5,3,15
"9",4,4,16
"10",3,5,15
"11",2,1,2
"12",2,7,14
"13",1,8,8
"14",3,9,27
"15",4,13,52
"16",5,3,15
"17",5,2,10
"18",55,5,275
"19",43,33,1419
"20",7,65,455
"21",43,34,1462
"22",87,45,3915
"23",12,56,672
"24",4,3,12
"25",3,243,729
"26",3,342,1026
"27",12,4,48
"28",34,67,2278
"29",456,76,34656
"30",56,67,3752
"31",34,67,2278
"32",23,43,989
"33",3,23,69
"34",32,234,7488
"35",4,56,224
"36",5,76,380
"37",67,43,2881
"38",67,2,134
"39",45,87,3915
"40",34,6,204
"41",67,523,35041
"42",53,2345,124285
"43",45,3,135
"44",342,4,1368
"45",34,45,1530
"46",56,61,3416
"47",67,34,2278
"48",98,435,42630
"49",457,22,10054
"50",3,535,1605
"51",546,325,177450
"52",123,324,39852
"53",3421,3,10263
"54",43,7,301
"55",34,7,238
"56",34,68,2312
"57",3,34,102
"58",456,12,5472
"59",6,2345,14070
"60",56,76,4256
"61",56,54,3024
"62",5,455,2275
"63",43,NA,NA
